,loan_amnt,installment,term,int_rate,emp_length,annual_inc,loan_status
1,2500.0,59.83,1,0.1527,0,30000.0,0
3,10000.0,339.31,0,0.1349,10,49200.0,1
5,5000.0,156.46,0,0.079,3,36000.0,1
6,7000.0,170.08,1,0.1596,8,47004.0,1
7,3000.0,109.43,0,0.1864,9,48000.0,1
9,5375.0,121.45,1,0.1269,0,15000.0,0
10,6500.0,153.45,1,0.1465,5,72000.0,1
11,12000.0,402.54,0,0.1269,10,75000.0,1
12,9000.0,305.38,0,0.1349,0,30000.0,0
13,3000.0,96.68,0,0.0991,3,15000.0,1
14,10000.0,325.74,0,0.1065,3,100000.0,0
15,1000.0,35.31,0,0.1629,0,28000.0,1
16,10000.0,347.98,0,0.1527,4,42000.0,1
17,3600.0,109.57,0,0.0603,10,110000.0,1
18,6000.0,198.46,0,0.1171,1,84000.0,1
19,9200.0,280.01,0,0.0603,6,77385.19,1
20,20250.0,484.63,1,0.1527,3,43370.0,1
21,21000.0,701.73,0,0.1242,10,105000.0,0
22,10000.0,330.76,0,0.1171,10,50000.0,1
23,10000.0,330.76,0,0.1171,5,50000.0,1
24,6000.0,198.46,0,0.1171,1,76000.0,0
25,15000.0,483.38,0,0.0991,2,92000.0,1
27,5000.0,123.65,1,0.1677,2,50004.0,0
28,4000.0,132.31,0,0.1171,10,106000.0,1
29,8500.0,281.15,0,0.1171,0,25000.0,1
31,31825.0,995.82,0,0.079,5,75000.0,1
33,5000.0,158.77,0,0.08900000000000001,2,24044.0,1
34,7000.0,245.97,0,0.1596,7,34000.0,1
35,12400.0,403.91,0,0.1065,10,41000.0,1
36,10800.0,348.03,0,0.0991,2,55596.0,1
37,15000.0,469.36,0,0.079,1,45000.0,1
38,6000.0,200.5,0,0.1242,1,36852.0,1
40,9600.0,298.67,0,0.0751,4,68004.0,1
41,12000.0,375.49,0,0.079,10,62300.0,1
43,4400.0,156.37,0,0.1677,10,55000.0,1
44,6000.0,182.62,0,0.0603,10,45600.0,1
45,14000.0,451.15,0,0.0991,6,80000.0,1
46,5000.0,158.77,0,0.08900000000000001,10,100000.0,0
47,10000.0,325.74,0,0.1065,6,27000.0,1
48,10000.0,304.36,0,0.0603,10,60000.0,1
49,11000.0,337.75,0,0.0662,5,70000.0,1
50,15000.0,483.38,0,0.0991,8,80000.0,0
51,25600.0,824.96,0,0.0991,9,110000.0,1
52,7000.0,228.02,0,0.1065,0,40000.0,1
53,12000.0,421.65,0,0.1596,4,50000.0,0
54,12000.0,386.7,0,0.0991,1,46000.0,1
55,21000.0,555.33,1,0.1991,7,50000.0,0
56,16000.0,423.11,1,0.1991,7,81000.0,1
